NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1112,UNIVERSITAS MALIKUSSALEH,11121001,TEKNIK SIPIL,Sarjana,165,265,Tidak Ada
2,1112,UNIVERSITAS MALIKUSSALEH,11121002,TEKNIK MESIN,Sarjana,150,243,Tidak Ada
3,1112,UNIVERSITAS MALIKUSSALEH,11121003,TEKNIK KIMIA,Sarjana,125,124,Tidak Ada
4,1112,UNIVERSITAS MALIKUSSALEH,11121004,TEKNIK ELEKTRO,Sarjana,100,164,Tidak Ada
5,1112,UNIVERSITAS MALIKUSSALEH,11121005,TEKNIK INDUSTRI,Sarjana,125,367,Tidak Ada
6,1112,UNIVERSITAS MALIKUSSALEH,11121006,TEKNIK INFORMATIKA,Sarjana,148,640,Tidak Ada
7,1112,UNIVERSITAS MALIKUSSALEH,11121007,TEKNIK ARSITEKTUR,Sarjana,75,81,Tidak Ada
8,1112,UNIVERSITAS MALIKUSSALEH,11121008,AGROEKOTEKNOLOGI,Sarjana,158,291,Tidak Ada
9,1112,UNIVERSITAS MALIKUSSALEH,11121009,AGRIBISNIS,Sarjana,133,274,Tidak Ada
10,1112,UNIVERSITAS MALIKUSSALEH,11121010,AKUAKULTUR,Sarjana,58,51,Tidak Ada
11,1112,UNIVERSITAS MALIKUSSALEH,11121011,KEDOKTERAN,Sarjana,42,707,Tidak Ada
12,1112,UNIVERSITAS MALIKUSSALEH,11121012,PENDIDIKAN FISIKA,Sarjana,60,46,Tidak Ada
13,1112,UNIVERSITAS MALIKUSSALEH,11121013,PENDIDIKAN KIMIA,Sarjana,60,66,Tidak Ada
14,1112,UNIVERSITAS MALIKUSSALEH,11121014,PENDIDIKAN MATEMATIKA,Sarjana,60,155,Tidak Ada
15,1112,UNIVERSITAS MALIKUSSALEH,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,38,36,Tidak Ada
16,1112,UNIVERSITAS MALIKUSSALEH,11121016,SISTEM INFORMASI,Sarjana,100,264,Tidak Ada
17,1112,UNIVERSITAS MALIKUSSALEH,11121017,ILMU KELAUTAN,Sarjana,58,54,Tidak Ada
18,1112,UNIVERSITAS MALIKUSSALEH,11121018,TEKNIK MATERIAL,Sarjana,50,31,Tidak Ada
19,1112,UNIVERSITAS MALIKUSSALEH,11121019,TEKNIK LOGISTIK,Sarjana,50,50,Tidak Ada
20,1112,UNIVERSITAS MALIKUSSALEH,11121020,MANAJEMEN,Sarjana,208,587,Tidak Ada
21,1112,UNIVERSITAS MALIKUSSALEH,11121021,AKUNTANSI,Sarjana,163,386,Tidak Ada
22,1112,UNIVERSITAS MALIKUSSALEH,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,105,117,Tidak Ada
23,1112,UNIVERSITAS MALIKUSSALEH,11121023,ADMINISTRASI PUBLIK,Sarjana,135,280,Tidak Ada
24,1112,UNIVERSITAS MALIKUSSALEH,11121024,SOSIOLOGI,Sarjana,100,192,Tidak Ada
25,1112,UNIVERSITAS MALIKUSSALEH,11121025,ILMU POLITIK,Sarjana,100,45,Tidak Ada
26,1112,UNIVERSITAS MALIKUSSALEH,11121026,ANTROPOLOGI,Sarjana,50,59,Tidak Ada
27,1112,UNIVERSITAS MALIKUSSALEH,11121027,ILMU KOMUNIKASI,Sarjana,139,294,Tidak Ada
28,1112,UNIVERSITAS MALIKUSSALEH,11121028,HUKUM,Sarjana,250,381,Tidak Ada
29,1112,UNIVERSITAS MALIKUSSALEH,11121029,EKONOMI SYARIAH,Sarjana,110,162,Tidak Ada
30,1112,UNIVERSITAS MALIKUSSALEH,11121030,PSIKOLOGI,Sarjana,90,379,Tidak Ada
31,1112,UNIVERSITAS MALIKUSSALEH,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,98,384,Tidak Ada
32,1112,UNIVERSITAS MALIKUSSALEH,11121032,ADMINISTRASI BISNIS,Sarjana,75,264,Tidak Ada
33,1112,UNIVERSITAS MALIKUSSALEH,11121033,KEWIRUSAHAAN,Sarjana,68,98,Tidak Ada
34,1112,UNIVERSITAS MALIKUSSALEH,11121036,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,30,,Tidak Ada
35,1112,UNIVERSITAS MALIKUSSALEH,11121037,PENDIDIKAN VOKASIONAL REKAYASA ELEKTRO,Sarjana,30,,Tidak Ada
36,1112,UNIVERSITAS MALIKUSSALEH,11121038,BIOTEKNOLOGI,Sarjana,45,,Tidak Ada
37,1112,UNIVERSITAS MALIKUSSALEH,11121039,PERENCANAAN WILAYAH DAN KOTA,Sarjana,30,,Tidak Ada
38,1112,UNIVERSITAS MALIKUSSALEH,11121040,TEKNIK LINGKUNGAN,Sarjana,30,,Tidak Ada
39,1112,UNIVERSITAS MALIKUSSALEH,11123034,KEPERAWATAN,Diploma Tiga,58,158,Tidak Ada
