NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1113,UNIVERSITAS TEUKU UMAR,11131001,TEKNIK SIPIL,Sarjana,52,100,Tidak Ada
2,1113,UNIVERSITAS TEUKU UMAR,11131002,TEKNIK MESIN,Sarjana,44,103,Tidak Ada
3,1113,UNIVERSITAS TEUKU UMAR,11131003,TEKNIK INDUSTRI,Sarjana,44,123,Tidak Ada
4,1113,UNIVERSITAS TEUKU UMAR,11131004,AGRIBISNIS,Sarjana,48,79,Tidak Ada
5,1113,UNIVERSITAS TEUKU UMAR,11131005,AGROTEKNOLOGI,Sarjana,46,67,Tidak Ada
6,1113,UNIVERSITAS TEUKU UMAR,11131006,PERIKANAN,Sarjana,24,32,Tidak Ada
7,1113,UNIVERSITAS TEUKU UMAR,11131007,KESEHATAN MASYARAKAT,Sarjana,64,320,Tidak Ada
8,1113,UNIVERSITAS TEUKU UMAR,11131008,AKUAKULTUR,Sarjana,22,12,Tidak Ada
9,1113,UNIVERSITAS TEUKU UMAR,11131009,SUMBER DAYA AKUATIK,Sarjana,22,6,Tidak Ada
10,1113,UNIVERSITAS TEUKU UMAR,11131010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,64,Tidak Ada
11,1113,UNIVERSITAS TEUKU UMAR,11131011,ILMU KELAUTAN,Sarjana,22,35,Tidak Ada
12,1113,UNIVERSITAS TEUKU UMAR,11131012,TEKNOLOGI INFORMASI,Sarjana,48,149,Tidak Ada
13,1113,UNIVERSITAS TEUKU UMAR,11131013,GIZI,Sarjana,52,322,Tidak Ada
14,1113,UNIVERSITAS TEUKU UMAR,11131014,EKONOMI PEMBANGUNAN,Sarjana,34,40,Tidak Ada
15,1113,UNIVERSITAS TEUKU UMAR,11131015,ILMU ADMINISTRASI NEGARA,Sarjana,60,107,Tidak Ada
16,1113,UNIVERSITAS TEUKU UMAR,11131016,SOSIOLOGI,Sarjana,48,99,Tidak Ada
17,1113,UNIVERSITAS TEUKU UMAR,11131017,ILMU KOMUNIKASI,Sarjana,56,87,Tidak Ada
18,1113,UNIVERSITAS TEUKU UMAR,11131018,MANAJEMEN,Sarjana,64,190,Tidak Ada
19,1113,UNIVERSITAS TEUKU UMAR,11131019,AKUNTANSI,Sarjana,60,127,Tidak Ada
20,1113,UNIVERSITAS TEUKU UMAR,11131020,ILMU HUKUM,Sarjana,64,105,Tidak Ada
21,1113,UNIVERSITAS TEUKU UMAR,11131021,PETERNAKAN,Sarjana,24,28,Tidak Ada
22,1113,UNIVERSITAS TEUKU UMAR,11131022,BISNIS DIGITAL,Sarjana,38,87,Tidak Ada
23,1113,UNIVERSITAS TEUKU UMAR,11131023,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,38,156,Tidak Ada
24,1113,UNIVERSITAS TEUKU UMAR,11131024,BAHASA DAN KEBUDAYAAN INGGRIS,Sarjana,24,25,Tidak Ada
25,1113,UNIVERSITAS TEUKU UMAR,11131025,TEKNIK INFRASRUKTUR DAN LINGKUNGAN,Sarjana,16,,Tidak Ada
26,1113,UNIVERSITAS TEUKU UMAR,11131026,SAINS KEOLAHRAGAAN,Sarjana,16,,Olahraga
27,1113,UNIVERSITAS TEUKU UMAR,11131027,BIOSAINS HEWAN,Sarjana,16,,Tidak Ada
