NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1114,UNIVERSITAS SAMUDRA,11141001,AGROTEKNOLOGI,Sarjana,48,152,Tidak Ada
2,1114,UNIVERSITAS SAMUDRA,11141002,AGRIBISNIS,Sarjana,60,175,Tidak Ada
3,1114,UNIVERSITAS SAMUDRA,11141003,AKUAKULTUR,Sarjana,16,25,Tidak Ada
4,1114,UNIVERSITAS SAMUDRA,11141004,PENDIDIKAN MATEMATIKA,Sarjana,12,66,Tidak Ada
5,1114,UNIVERSITAS SAMUDRA,11141005,PENDIDIKAN FISIKA,Sarjana,12,27,Tidak Ada
6,1114,UNIVERSITAS SAMUDRA,11141006,PENDIDIKAN KIMIA,Sarjana,12,22,Tidak Ada
7,1114,UNIVERSITAS SAMUDRA,11141007,PENDIDIKAN BIOLOGI,Sarjana,36,109,Tidak Ada
8,1114,UNIVERSITAS SAMUDRA,11141008,TEKNIK MESIN,Sarjana,44,72,Tidak Ada
9,1114,UNIVERSITAS SAMUDRA,11141009,TEKNIK SIPIL,Sarjana,60,108,Tidak Ada
10,1114,UNIVERSITAS SAMUDRA,11141010,TEKNIK INDUSTRI,Sarjana,48,161,Tidak Ada
11,1114,UNIVERSITAS SAMUDRA,11141011,INFORMATIKA,Sarjana,72,376,Tidak Ada
12,1114,UNIVERSITAS SAMUDRA,11141012,MATEMATIKA,Sarjana,12,25,Tidak Ada
13,1114,UNIVERSITAS SAMUDRA,11141013,FISIKA,Sarjana,12,6,Tidak Ada
14,1114,UNIVERSITAS SAMUDRA,11141014,KIMIA,Sarjana,12,25,Tidak Ada
15,1114,UNIVERSITAS SAMUDRA,11141015,BIOLOGI,Sarjana,12,39,Tidak Ada
16,1114,UNIVERSITAS SAMUDRA,11141016,HUKUM,Sarjana,96,221,Tidak Ada
17,1114,UNIVERSITAS SAMUDRA,11141017,EKONOMI MANAJEMEN,Sarjana,96,397,Tidak Ada
18,1114,UNIVERSITAS SAMUDRA,11141018,EKONOMI PEMBANGUNAN,Sarjana,32,53,Tidak Ada
19,1114,UNIVERSITAS SAMUDRA,11141019,PENDIDIKAN SEJARAH,Sarjana,32,142,Tidak Ada
20,1114,UNIVERSITAS SAMUDRA,11141020,PENDIDIKAN GEOGRAFI,Sarjana,48,111,Tidak Ada
21,1114,UNIVERSITAS SAMUDRA,11141021,PENDIDIKAN JASMANI,Sarjana,48,158,Olahraga
22,1114,UNIVERSITAS SAMUDRA,11141022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,130,821,Tidak Ada
23,1114,UNIVERSITAS SAMUDRA,11141023,PENDIDIKAN BAHASA INGGRIS,Sarjana,32,113,Tidak Ada
24,1114,UNIVERSITAS SAMUDRA,11141024,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,226,Tidak Ada
25,1114,UNIVERSITAS SAMUDRA,11141025,AKUNTANSI,Sarjana,48,172,Tidak Ada
26,1114,UNIVERSITAS SAMUDRA,11141026,GEOFISIKA,Sarjana,12,10,Tidak Ada
27,1114,UNIVERSITAS SAMUDRA,11141027,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,12,38,Tidak Ada
28,1114,UNIVERSITAS SAMUDRA,11141028,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,12,164,Tidak Ada
29,1114,UNIVERSITAS SAMUDRA,11141029,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,12,48,Tidak Ada
30,1114,UNIVERSITAS SAMUDRA,11141030,KRIMINOLOGI,Sarjana,16,,Tidak Ada
31,1114,UNIVERSITAS SAMUDRA,11141031,PETERNAKAN,Sarjana,16,,Tidak Ada
32,1114,UNIVERSITAS SAMUDRA,11141032,HUKUM BISNIS,Sarjana,16,,Tidak Ada
33,1114,UNIVERSITAS SAMUDRA,11141033,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,16,,Tidak Ada
34,1114,UNIVERSITAS SAMUDRA,11141034,BISNIS DIGITAL,Sarjana,16,,Tidak Ada
