NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1115,ISBI ACEH,11151001,SENI KARAWITAN,Sarjana,20,3,Seni Karawitan
2,1115,ISBI ACEH,11151002,SENI TARI,Sarjana,38,33,Tari
3,1115,ISBI ACEH,11151003,SENI TEATER,Sarjana,15,5,Teater
4,1115,ISBI ACEH,11151004,SENI RUPA MURNI,Sarjana,20,14,"Seni Rupa, Desain, dan Kriya"
5,1115,ISBI ACEH,11151005,KRIYA SENI,Sarjana,20,8,"Seni Rupa, Desain, dan Kriya"
6,1115,ISBI ACEH,11151006,DESAIN KOMUNIKASI VISUAL,Sarjana,40,25,"Seni Rupa, Desain, dan Kriya"
7,1115,ISBI ACEH,11151007,KAJIAN SASTRA BUDAYA,Sarjana,15,10,Tidak Ada
8,1115,ISBI ACEH,11151008,BAHASA ACEH,Sarjana,15,5,Tidak Ada
9,1115,ISBI ACEH,11151009,DESAIN INTERIOR,Sarjana,20,4,"Seni Rupa, Desain, dan Kriya"
10,1115,ISBI ACEH,11151010,BAHASA MANDARIN,Sarjana,20,,Tidak Ada
11,1115,ISBI ACEH,11151011,SEJARAH,Sarjana,20,,Tidak Ada
