NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1121,UNIVERSITAS SUMATERA UTARA,11211001,PENDIDIKAN DOKTER,Sarjana,55,1263,Tidak Ada
2,1121,UNIVERSITAS SUMATERA UTARA,11211002,TEKNIK SIPIL,Sarjana,38,835,Tidak Ada
3,1121,UNIVERSITAS SUMATERA UTARA,11211003,TEKNIK MESIN,Sarjana,38,774,Tidak Ada
4,1121,UNIVERSITAS SUMATERA UTARA,11211004,TEKNIK ELEKTRO,Sarjana,35,636,Tidak Ada
5,1121,UNIVERSITAS SUMATERA UTARA,11211005,TEKNIK INDUSTRI,Sarjana,40,1410,Tidak Ada
6,1121,UNIVERSITAS SUMATERA UTARA,11211006,TEKNIK KIMIA,Sarjana,30,612,Tidak Ada
7,1121,UNIVERSITAS SUMATERA UTARA,11211007,PENDIDIKAN DOKTER GIGI,Sarjana,33,806,Tidak Ada
8,1121,UNIVERSITAS SUMATERA UTARA,11211008,MATEMATIKA,Sarjana,40,377,Tidak Ada
9,1121,UNIVERSITAS SUMATERA UTARA,11211009,KIMIA,Sarjana,40,302,Tidak Ada
10,1121,UNIVERSITAS SUMATERA UTARA,11211010,FARMASI,Sarjana,40,1753,Tidak Ada
11,1121,UNIVERSITAS SUMATERA UTARA,11211011,FISIKA,Sarjana,40,130,Tidak Ada
12,1121,UNIVERSITAS SUMATERA UTARA,11211012,ILMU KESEHATAN MASYARAKAT,Sarjana,88,1520,Tidak Ada
13,1121,UNIVERSITAS SUMATERA UTARA,11211013,AGROEKOTEKNOLOGI,Sarjana,75,1177,Tidak Ada
14,1121,UNIVERSITAS SUMATERA UTARA,11211014,KETEKNIKAN PERTANIAN,Sarjana,25,515,Tidak Ada
15,1121,UNIVERSITAS SUMATERA UTARA,11211015,BIOLOGI,Sarjana,40,311,Tidak Ada
16,1121,UNIVERSITAS SUMATERA UTARA,11211016,AGRIBISNIS,Sarjana,50,1043,Tidak Ada
17,1121,UNIVERSITAS SUMATERA UTARA,11211017,ILMU DAN TEKNOLOGI PANGAN,Sarjana,25,609,Tidak Ada
18,1121,UNIVERSITAS SUMATERA UTARA,11211018,PETERNAKAN,Sarjana,70,522,Tidak Ada
19,1121,UNIVERSITAS SUMATERA UTARA,11211019,ARSITEKTUR,Sarjana,25,438,Tidak Ada
20,1121,UNIVERSITAS SUMATERA UTARA,11211020,ILMU KEPERAWATAN,Sarjana,63,1290,Tidak Ada
21,1121,UNIVERSITAS SUMATERA UTARA,11211021,KEHUTANAN,Sarjana,80,771,Tidak Ada
22,1121,UNIVERSITAS SUMATERA UTARA,11211022,ILMU KOMPUTER,Sarjana,33,1578,Tidak Ada
23,1121,UNIVERSITAS SUMATERA UTARA,11211023,TEKNOLOGI INFORMASI,Sarjana,33,1038,Tidak Ada
24,1121,UNIVERSITAS SUMATERA UTARA,11211024,MANAJEMEN SUMBER DAYA PERAIRAN,Sarjana,25,232,Tidak Ada
25,1121,UNIVERSITAS SUMATERA UTARA,11211025,TEKNIK LINGKUNGAN,Sarjana,21,526,Tidak Ada
26,1121,UNIVERSITAS SUMATERA UTARA,11211026,GIZI,Sarjana,22,912,Tidak Ada
27,1121,UNIVERSITAS SUMATERA UTARA,11211027,ILMU HUKUM,Sarjana,135,1767,Tidak Ada
28,1121,UNIVERSITAS SUMATERA UTARA,11211028,ILMU SEJARAH,Sarjana,48,206,Tidak Ada
29,1121,UNIVERSITAS SUMATERA UTARA,11211029,ANTROPOLOGI SOSIAL,Sarjana,30,319,Tidak Ada
30,1121,UNIVERSITAS SUMATERA UTARA,11211030,AKUNTANSI,Sarjana,55,1488,Tidak Ada
31,1121,UNIVERSITAS SUMATERA UTARA,11211031,SOSIOLOGI,Sarjana,42,375,Tidak Ada
32,1121,UNIVERSITAS SUMATERA UTARA,11211032,ILMU KESEJAHTERAAN SOSIAL,Sarjana,30,352,Tidak Ada
33,1121,UNIVERSITAS SUMATERA UTARA,11211033,ILMU ADMINISTRASI NEGARA,Sarjana,27,754,Tidak Ada
34,1121,UNIVERSITAS SUMATERA UTARA,11211034,ILMU KOMUNIKASI,Sarjana,27,1108,Tidak Ada
35,1121,UNIVERSITAS SUMATERA UTARA,11211035,MANAJEMEN,Sarjana,55,1743,Tidak Ada
36,1121,UNIVERSITAS SUMATERA UTARA,11211036,EKONOMI PEMBANGUNAN,Sarjana,44,528,Tidak Ada
37,1121,UNIVERSITAS SUMATERA UTARA,11211037,ILMU POLITIK,Sarjana,30,327,Tidak Ada
38,1121,UNIVERSITAS SUMATERA UTARA,11211038,SASTRA INDONESIA,Sarjana,57,334,Tidak Ada
39,1121,UNIVERSITAS SUMATERA UTARA,11211039,SASTRA DAERAH UNTUK SASTRA MELAYU,Sarjana,38,6,Tidak Ada
40,1121,UNIVERSITAS SUMATERA UTARA,11211040,SASTRA INGGRIS,Sarjana,83,760,Tidak Ada
41,1121,UNIVERSITAS SUMATERA UTARA,11211041,SASTRA DAERAH UNTUK SASTRA BATAK,Sarjana,30,20,Tidak Ada
42,1121,UNIVERSITAS SUMATERA UTARA,11211042,SASTRA ARAB,Sarjana,70,161,Tidak Ada
43,1121,UNIVERSITAS SUMATERA UTARA,11211043,ETNO MUSIKOLOGI,Sarjana,40,44,Etnomusikologi
44,1121,UNIVERSITAS SUMATERA UTARA,11211044,SASTRA JEPANG,Sarjana,20,275,Tidak Ada
45,1121,UNIVERSITAS SUMATERA UTARA,11211045,ILMU PERPUSTAKAAN,Sarjana,40,478,Tidak Ada
46,1121,UNIVERSITAS SUMATERA UTARA,11211046,SASTRA CINA,Sarjana,20,139,Tidak Ada
47,1121,UNIVERSITAS SUMATERA UTARA,11211047,ILMU ADMINISTRASI NIAGA/BISNIS,Sarjana,27,1005,Tidak Ada
48,1121,UNIVERSITAS SUMATERA UTARA,11211048,PSIKOLOGI,Sarjana,63,1283,Tidak Ada
49,1121,UNIVERSITAS SUMATERA UTARA,11211049,KEWIRAUSAHAAN,Sarjana,16,341,Tidak Ada
50,1121,UNIVERSITAS SUMATERA UTARA,11211071,EKONOMI ISLAM,Sarjana,17,,Tidak Ada
51,1121,UNIVERSITAS SUMATERA UTARA,11211072,TEKNIK PERTAMBANGAN,Sarjana,15,,Tidak Ada
52,1121,UNIVERSITAS SUMATERA UTARA,11211073,TEKNIK LOGISTIK,Sarjana,15,,Tidak Ada
53,1121,UNIVERSITAS SUMATERA UTARA,11211074,PERENCANAAN WILAYAH DAN KOTA,Sarjana,15,,Tidak Ada
54,1121,UNIVERSITAS SUMATERA UTARA,11212064,PERBANKAN DAN KEUANGAN,Sarjana Terapan,46,349,Tidak Ada
55,1121,UNIVERSITAS SUMATERA UTARA,11212065,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,32,268,Tidak Ada
56,1121,UNIVERSITAS SUMATERA UTARA,11212066,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,44,159,Tidak Ada
57,1121,UNIVERSITAS SUMATERA UTARA,11212067,STATISTIKA,Sarjana Terapan,40,230,Tidak Ada
58,1121,UNIVERSITAS SUMATERA UTARA,11212068,KIMIA TERAPAN,Sarjana Terapan,32,41,Tidak Ada
59,1121,UNIVERSITAS SUMATERA UTARA,11212069,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,40,414,Tidak Ada
60,1121,UNIVERSITAS SUMATERA UTARA,11212070,TEKNOLOGI REKAYASA INSTRUMENTASI,Sarjana Terapan,40,45,Tidak Ada
61,1121,UNIVERSITAS SUMATERA UTARA,11213050,METROLOGI DAN INSTRUMENTASI,Diploma Tiga,36,31,Tidak Ada
62,1121,UNIVERSITAS SUMATERA UTARA,11213054,ADMINISTRASI PERPAJAKAN,Diploma Tiga,40,337,Tidak Ada
63,1121,UNIVERSITAS SUMATERA UTARA,11213056,BAHASA JEPANG,Diploma Tiga,20,65,Tidak Ada
64,1121,UNIVERSITAS SUMATERA UTARA,11213058,ANALIS FARMASI DAN MAKANAN,Diploma Tiga,24,274,Tidak Ada
65,1121,UNIVERSITAS SUMATERA UTARA,11213059,BAHASA INGGRIS,Diploma Tiga,40,87,Tidak Ada
66,1121,UNIVERSITAS SUMATERA UTARA,11213060,TEKNIK INFORMATIKA,Diploma Tiga,40,420,Tidak Ada
