NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1122,UNIVERSITAS NEGERI MEDAN,11221001,PENDIDIKAN MATEMATIKA,Sarjana,67,649,Tidak Ada
2,1122,UNIVERSITAS NEGERI MEDAN,11221002,PENDIDIKAN BIOLOGI,Sarjana,72,603,Tidak Ada
3,1122,UNIVERSITAS NEGERI MEDAN,11221003,PENDIDIKAN FISIKA,Sarjana,69,266,Tidak Ada
4,1122,UNIVERSITAS NEGERI MEDAN,11221004,PENDIDIKAN KIMIA,Sarjana,90,377,Tidak Ada
5,1122,UNIVERSITAS NEGERI MEDAN,11221005,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,47,90,Tidak Ada
6,1122,UNIVERSITAS NEGERI MEDAN,11221006,PENDIDIKAN TEKNIK MESIN,Sarjana,51,227,Tidak Ada
7,1122,UNIVERSITAS NEGERI MEDAN,11221007,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,46,151,Tidak Ada
8,1122,UNIVERSITAS NEGERI MEDAN,11221008,KIMIA,Sarjana,43,251,Tidak Ada
9,1122,UNIVERSITAS NEGERI MEDAN,11221009,BIOLOGI,Sarjana,59,315,Tidak Ada
10,1122,UNIVERSITAS NEGERI MEDAN,11221010,ILMU KEOLAHRAGAAN,Sarjana,77,184,Olahraga
11,1122,UNIVERSITAS NEGERI MEDAN,11221011,MATEMATIKA,Sarjana,46,278,Tidak Ada
12,1122,UNIVERSITAS NEGERI MEDAN,11221012,FISIKA,Sarjana,33,101,Tidak Ada
13,1122,UNIVERSITAS NEGERI MEDAN,11221013,PENDIDIKAN TEKNIK OTOMOTIF,Sarjana,51,189,Tidak Ada
14,1122,UNIVERSITAS NEGERI MEDAN,11221014,GIZI,Sarjana,54,1060,Tidak Ada
15,1122,UNIVERSITAS NEGERI MEDAN,11221015,TEKNIK ELEKTRO,Sarjana,46,501,Tidak Ada
16,1122,UNIVERSITAS NEGERI MEDAN,11221016,TEKNIK SIPIL,Sarjana,51,599,Tidak Ada
17,1122,UNIVERSITAS NEGERI MEDAN,11221017,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,Sarjana,51,668,Tidak Ada
18,1122,UNIVERSITAS NEGERI MEDAN,11221018,ILMU KOMPUTER,Sarjana,48,1163,Tidak Ada
19,1122,UNIVERSITAS NEGERI MEDAN,11221019,PENDIDIKAN IPA,Sarjana,43,322,Tidak Ada
20,1122,UNIVERSITAS NEGERI MEDAN,11221021,PENDIDIKAN SEJARAH,Sarjana,62,491,Tidak Ada
21,1122,UNIVERSITAS NEGERI MEDAN,11221022,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),Sarjana,62,571,Tidak Ada
