NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1131,UNIVERSITAS RIAU,11311001,FISIKA,Sarjana,36,109,Tidak Ada
2,1131,UNIVERSITAS RIAU,11311002,KIMIA,Sarjana,36,265,Tidak Ada
3,1131,UNIVERSITAS RIAU,11311003,MATEMATIKA,Sarjana,27,168,Tidak Ada
4,1131,UNIVERSITAS RIAU,11311004,BIOLOGI,Sarjana,36,242,Tidak Ada
5,1131,UNIVERSITAS RIAU,11311005,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,43,126,Tidak Ada
6,1131,UNIVERSITAS RIAU,11311006,BUDIDAYA PERAIRAN,Sarjana,52,128,Tidak Ada
7,1131,UNIVERSITAS RIAU,11311007,ILMU KELAUTAN,Sarjana,46,163,Tidak Ada
8,1131,UNIVERSITAS RIAU,11311008,TEKNOLOGI HASIL PERIKANAN,Sarjana,43,100,Tidak Ada
9,1131,UNIVERSITAS RIAU,11311009,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,37,90,Tidak Ada
10,1131,UNIVERSITAS RIAU,11311010,AGROBISNIS PERIKANAN,Sarjana,34,104,Tidak Ada
11,1131,UNIVERSITAS RIAU,11311011,AGROTEKNOLOGI,Sarjana,60,868,Tidak Ada
12,1131,UNIVERSITAS RIAU,11311012,AGRIBISNIS,Sarjana,36,743,Tidak Ada
13,1131,UNIVERSITAS RIAU,11311013,TEKNOLOGI HASIL PERTANIAN,Sarjana,24,322,Tidak Ada
14,1131,UNIVERSITAS RIAU,11311014,KEHUTANAN,Sarjana,36,397,Tidak Ada
15,1131,UNIVERSITAS RIAU,11311015,TEKNIK SIPIL,Sarjana,36,820,Tidak Ada
16,1131,UNIVERSITAS RIAU,11311016,TEKNIK KIMIA,Sarjana,31,592,Tidak Ada
17,1131,UNIVERSITAS RIAU,11311017,TEKNIK MESIN,Sarjana,34,694,Tidak Ada
18,1131,UNIVERSITAS RIAU,11311018,TEKNIK ELEKTRO,Sarjana,36,600,Tidak Ada
19,1131,UNIVERSITAS RIAU,11311019,KEDOKTERAN,Sarjana,48,1434,Tidak Ada
20,1131,UNIVERSITAS RIAU,11311020,ILMU KEPERAWATAN,Sarjana,63,1749,Tidak Ada
21,1131,UNIVERSITAS RIAU,11311021,PENDIDIKAN MATEMATIKA,Sarjana,24,458,Tidak Ada
22,1131,UNIVERSITAS RIAU,11311022,PENDIDIKAN BIOLOGI,Sarjana,24,478,Tidak Ada
23,1131,UNIVERSITAS RIAU,11311023,PENDIDIKAN FISIKA,Sarjana,24,166,Tidak Ada
24,1131,UNIVERSITAS RIAU,11311024,PENDIDIKAN KIMIA,Sarjana,24,222,Tidak Ada
25,1131,UNIVERSITAS RIAU,11311025,TEKNIK LINGKUNGAN,Sarjana,27,690,Tidak Ada
26,1131,UNIVERSITAS RIAU,11311026,ARSITEKTUR,Sarjana,28,331,Tidak Ada
27,1131,UNIVERSITAS RIAU,11311027,SISTEM INFORMASI,Sarjana,48,955,Tidak Ada
28,1131,UNIVERSITAS RIAU,11311028,TEKNIK INFORMATIKA,Sarjana,36,1502,Tidak Ada
29,1131,UNIVERSITAS RIAU,11311029,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,24,392,Tidak Ada
30,1131,UNIVERSITAS RIAU,11311030,STATISTIKA,Sarjana,27,253,Tidak Ada
31,1131,UNIVERSITAS RIAU,11311031,HUBUNGAN INTERNASIONAL,Sarjana,57,441,Tidak Ada
32,1131,UNIVERSITAS RIAU,11311032,ILMU PEMERINTAHAN,Sarjana,63,607,Tidak Ada
33,1131,UNIVERSITAS RIAU,11311033,ILMU ADMINISTRASI PUBLIK,Sarjana,49,789,Tidak Ada
34,1131,UNIVERSITAS RIAU,11311034,ILMU ADMINISTRASI BISNIS,Sarjana,52,1357,Tidak Ada
35,1131,UNIVERSITAS RIAU,11311035,SOSIOLOGI,Sarjana,57,448,Tidak Ada
36,1131,UNIVERSITAS RIAU,11311036,ILMU KOMUNIKASI,Sarjana,63,1181,Tidak Ada
37,1131,UNIVERSITAS RIAU,11311038,EKONOMI PEMBANGUNAN,Sarjana,48,386,Tidak Ada
38,1131,UNIVERSITAS RIAU,11311039,MANAJEMEN,Sarjana,108,1811,Tidak Ada
39,1131,UNIVERSITAS RIAU,11311040,AKUNTANSI,Sarjana,93,1463,Tidak Ada
40,1131,UNIVERSITAS RIAU,11311041,ILMU HUKUM,Sarjana,124,1156,Tidak Ada
41,1131,UNIVERSITAS RIAU,11311042,PENDIDIKAN EKONOMI,Sarjana,36,391,Tidak Ada
