NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331001,TEKNIK ELEKTRO,Sarjana,68,95,Tidak Ada
2,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331002,TEKNIK INFORMATIKA,Sarjana,75,263,Tidak Ada
3,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331003,ILMU KELAUTAN,Sarjana,48,51,Tidak Ada
4,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331004,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,50,30,Tidak Ada
5,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331005,PENDIDIKAN MATEMATIKA,Sarjana,50,89,Tidak Ada
6,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331006,PENDIDIKAN BIOLOGI,Sarjana,50,65,Tidak Ada
7,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331007,PENDIDIKAN KIMIA,Sarjana,48,48,Tidak Ada
8,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331008,BUDI DAYA PERAIRAN,Sarjana,50,14,Tidak Ada
9,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331009,TEKNOLOGI HASIL PERIKANAN,Sarjana,50,22,Tidak Ada
10,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331010,SOSIAL EKONOMI PERIKANAN,Sarjana,50,14,Tidak Ada
11,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331011,TEKNIK PERKAPALAN,Sarjana,40,92,Tidak Ada
12,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331012,PENDIDIKAN BAHASA INDONESIA,Sarjana,75,127,Tidak Ada
13,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331013,AKUNTANSI,Sarjana,75,326,Tidak Ada
14,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331014,ILMU ADMINISTRASI NEGARA,Sarjana,75,309,Tidak Ada
15,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331015,ILMU PEMERINTAHAN,Sarjana,75,189,Tidak Ada
16,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331016,SOSIOLOGI,Sarjana,50,97,Tidak Ada
17,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331017,PENDIDIKAN BAHASA INGGRIS,Sarjana,75,111,Tidak Ada
18,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331018,MANAJEMEN,Sarjana,75,424,Tidak Ada
19,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331019,ILMU HUKUM,Sarjana,25,251,Tidak Ada
20,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331020,ILMU HUBUNGAN INTERNASIONAL,Sarjana,58,99,Tidak Ada
21,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331021,KEDOKTERAN,Sarjana,25,289,Tidak Ada
22,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331022,TEKNIK INDUSTRI,Sarjana,40,163,Tidak Ada
23,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331023,KIMIA,Sarjana,48,35,Tidak Ada
24,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331024,BISNIS DIGITAL,Sarjana,75,129,Tidak Ada
25,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331025,KEWIRAUSAHAAN,Sarjana,25,76,Tidak Ada
26,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331026,"KAJIAN FILM, TELEVISI, DAN MEDIA",Sarjana,50,46,Tidak Ada
27,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331027,PERENCANAAN WILAYAH DAN KOTA,Sarjana,25,,Tidak Ada
28,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331028,TEKNIK SIPIL,Sarjana,30,,Tidak Ada
29,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331029,PENDIDIKAN FISIKA,Sarjana,25,,Tidak Ada
30,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,11331030,ARSITEKTUR,Sarjana,25,,Tidak Ada
