NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1141,UNIVERSITAS ANDALAS,11411001,AGRIBISNIS,Sarjana,80,452,Tidak Ada
2,1141,UNIVERSITAS ANDALAS,11411002,AGROTEKNOLOGI,Sarjana,100,418,Tidak Ada
3,1141,UNIVERSITAS ANDALAS,11411003,KEDOKTERAN,Sarjana,51,1070,Tidak Ada
4,1141,UNIVERSITAS ANDALAS,11411004,KEPERAWATAN,Sarjana,36,784,Tidak Ada
5,1141,UNIVERSITAS ANDALAS,11411005,KESEHATAN MASYARAKAT,Sarjana,45,905,Tidak Ada
6,1141,UNIVERSITAS ANDALAS,11411006,KEDOKTERAN GIGI,Sarjana,20,546,Tidak Ada
7,1141,UNIVERSITAS ANDALAS,11411007,KIMIA,Sarjana,40,245,Tidak Ada
8,1141,UNIVERSITAS ANDALAS,11411008,BIOLOGI,Sarjana,40,204,Tidak Ada
9,1141,UNIVERSITAS ANDALAS,11411009,MATEMATIKA,Sarjana,40,165,Tidak Ada
10,1141,UNIVERSITAS ANDALAS,11411010,FISIKA,Sarjana,50,97,Tidak Ada
11,1141,UNIVERSITAS ANDALAS,11411011,TEKNIK KOMPUTER,Sarjana,20,334,Tidak Ada
12,1141,UNIVERSITAS ANDALAS,11411012,PETERNAKAN,Sarjana,160,341,Tidak Ada
13,1141,UNIVERSITAS ANDALAS,11411013,TEKNIK MESIN,Sarjana,38,352,Tidak Ada
14,1141,UNIVERSITAS ANDALAS,11411014,TEKNIK SIPIL,Sarjana,45,570,Tidak Ada
15,1141,UNIVERSITAS ANDALAS,11411015,TEKNIK INDUSTRI,Sarjana,38,751,Tidak Ada
16,1141,UNIVERSITAS ANDALAS,11411016,TEKNIK LINGKUNGAN,Sarjana,34,461,Tidak Ada
17,1141,UNIVERSITAS ANDALAS,11411017,TEKNIK ELEKTRO,Sarjana,28,350,Tidak Ada
18,1141,UNIVERSITAS ANDALAS,11411018,FARMASI,Sarjana,40,1406,Tidak Ada
19,1141,UNIVERSITAS ANDALAS,11411019,TEKNIK PERTANIAN DAN BIOSISTEM,Sarjana,56,227,Tidak Ada
20,1141,UNIVERSITAS ANDALAS,11411020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,56,404,Tidak Ada
21,1141,UNIVERSITAS ANDALAS,11411021,SISTEM INFORMASI,Sarjana,30,570,Tidak Ada
22,1141,UNIVERSITAS ANDALAS,11411022,PSIKOLOGI,Sarjana,30,487,Tidak Ada
23,1141,UNIVERSITAS ANDALAS,11411023,ILMU TANAH,Sarjana,65,163,Tidak Ada
24,1141,UNIVERSITAS ANDALAS,11411024,AGROEKOTEKNOLOGI,Sarjana,75,148,Tidak Ada
25,1141,UNIVERSITAS ANDALAS,11411025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),Sarjana,40,69,Tidak Ada
26,1141,UNIVERSITAS ANDALAS,11411026,KEBIDANAN,Sarjana,20,534,Tidak Ada
27,1141,UNIVERSITAS ANDALAS,11411027,GIZI,Sarjana,30,708,Tidak Ada
28,1141,UNIVERSITAS ANDALAS,11411028,PROTEKSI TANAMAN,Sarjana,60,154,Tidak Ada
29,1141,UNIVERSITAS ANDALAS,11411029,PENYULUHAN PERTANIAN,Sarjana,20,124,Tidak Ada
30,1141,UNIVERSITAS ANDALAS,11411030,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,40,230,Tidak Ada
31,1141,UNIVERSITAS ANDALAS,11411031,ILMU BIOMEDIS,Sarjana,11,438,Tidak Ada
32,1141,UNIVERSITAS ANDALAS,11411032,EKONOMI,Sarjana,45,311,Tidak Ada
33,1141,UNIVERSITAS ANDALAS,11411033,HUKUM,Sarjana,140,885,Tidak Ada
34,1141,UNIVERSITAS ANDALAS,11411034,SEJARAH,Sarjana,60,95,Tidak Ada
35,1141,UNIVERSITAS ANDALAS,11411035,SOSIOLOGI,Sarjana,45,171,Tidak Ada
36,1141,UNIVERSITAS ANDALAS,11411036,ANTROPOLOGI SOSIAL,Sarjana,40,171,Tidak Ada
37,1141,UNIVERSITAS ANDALAS,11411037,MANAJEMEN,Sarjana,50,702,Tidak Ada
38,1141,UNIVERSITAS ANDALAS,11411038,AKUNTANSI,Sarjana,50,802,Tidak Ada
39,1141,UNIVERSITAS ANDALAS,11411039,ILMU POLITIK,Sarjana,45,197,Tidak Ada
40,1141,UNIVERSITAS ANDALAS,11411040,ADMINISTRASI PUBLIK,Sarjana,30,452,Tidak Ada
41,1141,UNIVERSITAS ANDALAS,11411041,SASTRA INDONESIA,Sarjana,48,120,Tidak Ada
42,1141,UNIVERSITAS ANDALAS,11411042,SASTRA INGGRIS,Sarjana,60,281,Tidak Ada
43,1141,UNIVERSITAS ANDALAS,11411043,SASTRA MINANGKABAU,Sarjana,35,39,Tidak Ada
44,1141,UNIVERSITAS ANDALAS,11411044,SASTRA JEPANG,Sarjana,55,183,Tidak Ada
45,1141,UNIVERSITAS ANDALAS,11411045,HUBUNGAN INTERNASIONAL,Sarjana,30,300,Tidak Ada
46,1141,UNIVERSITAS ANDALAS,11411046,ILMU KOMUNIKASI,Sarjana,35,437,Tidak Ada
47,1141,UNIVERSITAS ANDALAS,11411047,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),Sarjana,40,169,Tidak Ada
48,1141,UNIVERSITAS ANDALAS,11411048,EKONOMI PEMBANGUNAN (KAMPUS PAYAKUMBUH),Sarjana,24,84,Tidak Ada
49,1141,UNIVERSITAS ANDALAS,11411053,INFORMATIKA,Sarjana,23,523,Tidak Ada
50,1141,UNIVERSITAS ANDALAS,11411054,ARSITEKTUR,Sarjana,8,123,Tidak Ada
