NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1142,UNIVERSITAS NEGERI PADANG,11421001,PENDIDIKAN MATEMATIKA,Sarjana,48,433,Tidak Ada
2,1142,UNIVERSITAS NEGERI PADANG,11421002,MATEMATIKA (NK),Sarjana,30,120,Tidak Ada
3,1142,UNIVERSITAS NEGERI PADANG,11421003,PENDIDIKAN BIOLOGI,Sarjana,45,453,Tidak Ada
4,1142,UNIVERSITAS NEGERI PADANG,11421004,BIOLOGI (NK),Sarjana,45,184,Tidak Ada
5,1142,UNIVERSITAS NEGERI PADANG,11421005,PENDIDIKAN FISIKA,Sarjana,42,159,Tidak Ada
6,1142,UNIVERSITAS NEGERI PADANG,11421006,FISIKA (NK),Sarjana,30,55,Tidak Ada
7,1142,UNIVERSITAS NEGERI PADANG,11421007,PENDIDIKAN KIMIA,Sarjana,34,242,Tidak Ada
8,1142,UNIVERSITAS NEGERI PADANG,11421008,KIMIA (NK),Sarjana,38,188,Tidak Ada
9,1142,UNIVERSITAS NEGERI PADANG,11421009,PENDIDIKAN TEKNIK BANGUNAN,Sarjana,21,46,Tidak Ada
10,1142,UNIVERSITAS NEGERI PADANG,11421010,PENDIDIKAN TEKNIK ELEKTRO,Sarjana,33,74,Tidak Ada
11,1142,UNIVERSITAS NEGERI PADANG,11421011,PENDIDIKAN TEKNIK ELEKTRONIKA,Sarjana,24,45,Tidak Ada
12,1142,UNIVERSITAS NEGERI PADANG,11421012,PENDIDIKAN TEKNIK MESIN,Sarjana,30,86,Tidak Ada
13,1142,UNIVERSITAS NEGERI PADANG,11421013,PENDIDIKAN TEKNIK OTOMOTIF,Sarjana,33,152,Tidak Ada
14,1142,UNIVERSITAS NEGERI PADANG,11421014,PENDIDIKAN TEKNIK INFORMATIKA,Sarjana,30,351,Tidak Ada
15,1142,UNIVERSITAS NEGERI PADANG,11421015,ILMU KEOLAHRAGAAN (NK),Sarjana,54,82,Olahraga
16,1142,UNIVERSITAS NEGERI PADANG,11421016,TEKNIK PERTAMBANGAN (NK),Sarjana,22,886,Tidak Ada
17,1142,UNIVERSITAS NEGERI PADANG,11421018,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,45,277,Tidak Ada
18,1142,UNIVERSITAS NEGERI PADANG,11421019,TEKNIK SIPIL,Sarjana,35,494,Tidak Ada
19,1142,UNIVERSITAS NEGERI PADANG,11421020,STATISTIKA (NK),Sarjana,27,249,Tidak Ada
20,1142,UNIVERSITAS NEGERI PADANG,11421021,TEKNIK MESIN (NK),Sarjana,25,337,Tidak Ada
21,1142,UNIVERSITAS NEGERI PADANG,11421023,INFORMATIKA,Sarjana,24,801,Tidak Ada
22,1142,UNIVERSITAS NEGERI PADANG,11421024,ADMINISTRASI PENDIDIKAN,Sarjana,72,494,Tidak Ada
23,1142,UNIVERSITAS NEGERI PADANG,11421025,PENDIDIKAN LUAR BIASA,Sarjana,66,290,Tidak Ada
24,1142,UNIVERSITAS NEGERI PADANG,11421026,TEKNOLOGI PENDIDIKAN,Sarjana,38,162,Tidak Ada
25,1142,UNIVERSITAS NEGERI PADANG,11421027,PENDIDIKAN NON FORMAL,Sarjana,45,57,Tidak Ada
26,1142,UNIVERSITAS NEGERI PADANG,11421028,BIMBINGAN DAN KONSELING,Sarjana,55,805,Tidak Ada
27,1142,UNIVERSITAS NEGERI PADANG,11421029,PSIKOLOGI,Sarjana,56,744,Tidak Ada
28,1142,UNIVERSITAS NEGERI PADANG,11421030,PGSD (PENDIDIKAN GURU SEKOLAH DASAR),Sarjana,92,2099,Tidak Ada
29,1142,UNIVERSITAS NEGERI PADANG,11421031,PEND. GURU PENDIDIKAN ANAK USIA DINI,Sarjana,57,375,Tidak Ada
30,1142,UNIVERSITAS NEGERI PADANG,11421032,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,65,742,Tidak Ada
31,1142,UNIVERSITAS NEGERI PADANG,11421033,SASTRA INDONESIA,Sarjana,36,113,Tidak Ada
32,1142,UNIVERSITAS NEGERI PADANG,11421034,PENDD. BHS INGGRIS,Sarjana,50,517,Tidak Ada
33,1142,UNIVERSITAS NEGERI PADANG,11421035,SASTRA INGGRIS,Sarjana,36,222,Tidak Ada
34,1142,UNIVERSITAS NEGERI PADANG,11421036,PENDIDIKAN SENI RUPA,Sarjana,39,54,"Seni Rupa, Desain, dan Kriya"
35,1142,UNIVERSITAS NEGERI PADANG,11421037,PENDIDIKAN SENDRATASIK,Sarjana,45,132,Sendratasik
36,1142,UNIVERSITAS NEGERI PADANG,11421038,PENDIDIKAN GEOGRAFI,Sarjana,36,288,Tidak Ada
37,1142,UNIVERSITAS NEGERI PADANG,11421039,PENDIDIKAN SEJARAH,Sarjana,42,287,Tidak Ada
38,1142,UNIVERSITAS NEGERI PADANG,11421040,PENDIDIKAN SOSIOLOGI,Sarjana,60,489,Tidak Ada
39,1142,UNIVERSITAS NEGERI PADANG,11421041,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),Sarjana,42,483,Tidak Ada
40,1142,UNIVERSITAS NEGERI PADANG,11421042,ILMU ADMINISTRASI NEGARA (NK),Sarjana,50,758,Tidak Ada
41,1142,UNIVERSITAS NEGERI PADANG,11421043,PENDIDIKAN EKONOMI,Sarjana,54,380,Tidak Ada
42,1142,UNIVERSITAS NEGERI PADANG,11421044,MANAJEMEN (NK),Sarjana,40,1002,Tidak Ada
43,1142,UNIVERSITAS NEGERI PADANG,11421045,AKUNTANSI (NK),Sarjana,45,745,Tidak Ada
44,1142,UNIVERSITAS NEGERI PADANG,11421046,EKONOMI PEMBANGUNAN (NK),Sarjana,40,320,Tidak Ada
45,1142,UNIVERSITAS NEGERI PADANG,11421047,PENDD. KESEJAHTERAAN KELUARGA,Sarjana,36,226,Tidak Ada
46,1142,UNIVERSITAS NEGERI PADANG,11421049,"PENDIDIKAN JASMANI, KESEHATAN, DAN REKREASI",Sarjana,120,537,Olahraga
47,1142,UNIVERSITAS NEGERI PADANG,11421050,PENDD. KEPELATIHAN OLAHRAGA,Sarjana,96,275,Olahraga
48,1142,UNIVERSITAS NEGERI PADANG,11421051,GEOGRAFI (NK),Sarjana,36,174,Tidak Ada
49,1142,UNIVERSITAS NEGERI PADANG,11421053,DESAIN KOMUNIKASI VISUAL,Sarjana,40,255,"Seni Rupa, Desain, dan Kriya"
50,1142,UNIVERSITAS NEGERI PADANG,11421054,PENDIDIKAN BAHASA JEPANG,Sarjana,27,107,Tidak Ada
51,1142,UNIVERSITAS NEGERI PADANG,11421055,PENDIDIKAN MUSIK,Sarjana,21,52,Musik
52,1142,UNIVERSITAS NEGERI PADANG,11421056,PENDIDIKAN AGAMA ISLAM,Sarjana,42,576,Tidak Ada
53,1142,UNIVERSITAS NEGERI PADANG,11421057,PERPUSTAKAAN DAN ILMU INFORMASI,Sarjana,33,319,Tidak Ada
54,1142,UNIVERSITAS NEGERI PADANG,11421058,PENDIDIKAN TARI,Sarjana,23,124,Tari
