NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1143,ISI PADANG PANJANG,11431001,SENI KARAWITAN,Sarjana,30,25,Seni Karawitan
2,1143,ISI PADANG PANJANG,11431002,SENI TARI,Sarjana,58,114,Tari
3,1143,ISI PADANG PANJANG,11431003,SENI MUSIK,Sarjana,40,66,Musik
4,1143,ISI PADANG PANJANG,11431004,SENI TEATER,Sarjana,15,10,Teater
5,1143,ISI PADANG PANJANG,11431005,SENI KRIYA,Sarjana,20,7,"Seni Rupa, Desain, dan Kriya"
6,1143,ISI PADANG PANJANG,11431006,TV DAN FILM,Sarjana,60,80,Film dan Televisi
7,1143,ISI PADANG PANJANG,11431007,SENI MURNI,Sarjana,20,14,"Seni Rupa, Desain, dan Kriya"
8,1143,ISI PADANG PANJANG,11431008,FOTOGRAFI,Sarjana,45,37,Fotografi
9,1143,ISI PADANG PANJANG,11431009,DESAIN DAN KOMUNIKASI VISUAL,Sarjana,80,155,"Seni Rupa, Desain, dan Kriya"
10,1143,ISI PADANG PANJANG,11431010,ANTROPOLOGI BUDAYA,Sarjana,30,16,Tidak Ada
11,1143,ISI PADANG PANJANG,11431011,PENDIDIKAN KRIYA,Sarjana,20,10,"Seni Rupa, Desain, dan Kriya"
12,1143,ISI PADANG PANJANG,11431013,DESAIN PRODUK,Sarjana,25,18,"Seni Rupa, Desain, dan Kriya"
13,1143,ISI PADANG PANJANG,11431014,PARIWISATA,Sarjana,60,87,Tidak Ada
14,1143,ISI PADANG PANJANG,11431015,HUMANITAS,Sarjana,15,5,Tidak Ada
15,1143,ISI PADANG PANJANG,11431016,PENDIDIKAN VOKASIONAL TATA RIAS,Sarjana,30,94,Tidak Ada
16,1143,ISI PADANG PANJANG,11431022,KEWIRAUSAHAAN,Sarjana,20,20,Tidak Ada
17,1143,ISI PADANG PANJANG,11432012,DESAIN MODE,Sarjana Terapan,60,75,"Seni Rupa, Desain, dan Kriya"
18,1143,ISI PADANG PANJANG,11432017,MUSIK FILM,Sarjana Terapan,15,1,Musik
19,1143,ISI PADANG PANJANG,11432018,TARI MELAYU,Sarjana Terapan,15,1,Tari
20,1143,ISI PADANG PANJANG,11432019,TARI MINANG,Sarjana Terapan,10,3,Tari
21,1143,ISI PADANG PANJANG,11432020,ANIMASI,Sarjana Terapan,30,24,"Seni Rupa, Desain, dan Kriya"
22,1143,ISI PADANG PANJANG,11432021,PRODUKSI MEDIA,Sarjana Terapan,15,4,Tidak Ada
