NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1151,UNIVERSITAS JAMBI,11511001,PEND. KIMIA,Sarjana,22,67,Tidak Ada
2,1151,UNIVERSITAS JAMBI,11511002,PEND. MATEMATIKA,Sarjana,40,225,Tidak Ada
3,1151,UNIVERSITAS JAMBI,11511003,PEND. FISIKA,Sarjana,22,81,Tidak Ada
4,1151,UNIVERSITAS JAMBI,11511004,PEND. BIOLOGI,Sarjana,40,196,Tidak Ada
5,1151,UNIVERSITAS JAMBI,11511005,AGROEKOTEKNOLOGI,Sarjana,75,263,Tidak Ada
6,1151,UNIVERSITAS JAMBI,11511006,AGRIBISNIS,Sarjana,73,385,Tidak Ada
7,1151,UNIVERSITAS JAMBI,11511007,TEKNOLOGI HASIL PERTANIAN,Sarjana,30,120,Tidak Ada
8,1151,UNIVERSITAS JAMBI,11511008,PEND. OLAHRAGA & KESEHATAN,Sarjana,50,240,Olahraga
9,1151,UNIVERSITAS JAMBI,11511009,KEHUTANAN,Sarjana,40,214,Tidak Ada
10,1151,UNIVERSITAS JAMBI,11511010,PETERNAKAN,Sarjana,75,187,Tidak Ada
11,1151,UNIVERSITAS JAMBI,11511011,KEDOKTERAN,Sarjana,38,850,Tidak Ada
12,1151,UNIVERSITAS JAMBI,11511012,KIMIA,Sarjana,25,58,Tidak Ada
13,1151,UNIVERSITAS JAMBI,11511017,ILMU KEPERAWATAN,Sarjana,50,566,Tidak Ada
14,1151,UNIVERSITAS JAMBI,11511018,FARMASI,Sarjana,23,876,Tidak Ada
15,1151,UNIVERSITAS JAMBI,11511019,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,42,40,Tidak Ada
16,1151,UNIVERSITAS JAMBI,11511020,SISTEM INFORMASI,Sarjana,23,668,Tidak Ada
17,1151,UNIVERSITAS JAMBI,11511021,TEKNIK PERTAMBANGAN,Sarjana,25,643,Tidak Ada
18,1151,UNIVERSITAS JAMBI,11511022,TEKNIK GEOLOGI,Sarjana,25,171,Tidak Ada
19,1151,UNIVERSITAS JAMBI,11511023,BIOLOGI,Sarjana,25,76,Tidak Ada
20,1151,UNIVERSITAS JAMBI,11511024,FISIKA,Sarjana,20,22,Tidak Ada
21,1151,UNIVERSITAS JAMBI,11511025,MATEMATIKA,Sarjana,27,80,Tidak Ada
22,1151,UNIVERSITAS JAMBI,11511026,ILMU KESEHATAN MASYARAKAT,Sarjana,45,769,Tidak Ada
23,1151,UNIVERSITAS JAMBI,11511027,TEKNIK LINGKUNGAN,Sarjana,25,178,Tidak Ada
24,1151,UNIVERSITAS JAMBI,11511028,PENDIDIKAN KEPELATIHAN OLAHRAGA,Sarjana,25,78,Olahraga
25,1151,UNIVERSITAS JAMBI,11511029,TEKNIK ELEKTRO,Sarjana,17,141,Tidak Ada
26,1151,UNIVERSITAS JAMBI,11511030,TEKNIK GEOFISIKA,Sarjana,15,55,Tidak Ada
27,1151,UNIVERSITAS JAMBI,11511031,TEKNIK KIMIA,Sarjana,31,126,Tidak Ada
28,1151,UNIVERSITAS JAMBI,11511032,TEKNIK SIPIL,Sarjana,30,270,Tidak Ada
29,1151,UNIVERSITAS JAMBI,11511033,TEKNIK PERTANIAN,Sarjana,20,216,Tidak Ada
30,1151,UNIVERSITAS JAMBI,11511034,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,20,106,Tidak Ada
31,1151,UNIVERSITAS JAMBI,11511035,PEND. EKONOMI,Sarjana,35,212,Tidak Ada
32,1151,UNIVERSITAS JAMBI,11511036,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",Sarjana,42,365,Tidak Ada
33,1151,UNIVERSITAS JAMBI,11511037,PEND. BAHASA INGGRIS,Sarjana,35,306,Tidak Ada
34,1151,UNIVERSITAS JAMBI,11511038,ILMU HUKUM,Sarjana,133,751,Tidak Ada
35,1151,UNIVERSITAS JAMBI,11511039,ILMU EKONOMI PEMBANGUNAN,Sarjana,50,317,Tidak Ada
36,1151,UNIVERSITAS JAMBI,11511040,MANAJEMEN,Sarjana,50,948,Tidak Ada
37,1151,UNIVERSITAS JAMBI,11511041,AKUNTANSI,Sarjana,45,757,Tidak Ada
38,1151,UNIVERSITAS JAMBI,11511042,PEND. GURU SEKOLAH DASAR,Sarjana,50,1169,Tidak Ada
39,1151,UNIVERSITAS JAMBI,11511043,BIMBINGAN DAN KONSELING,Sarjana,35,464,Tidak Ada
40,1151,UNIVERSITAS JAMBI,11511044,PENDIDIKAN GURU PAUD,Sarjana,30,206,Tidak Ada
