NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1161,UNIVERSITAS BENGKULU,11611001,AGROEKOTEKNOLOGI,Sarjana,24,198,Tidak Ada
2,1161,UNIVERSITAS BENGKULU,11611002,KEHUTANAN,Sarjana,23,155,Tidak Ada
3,1161,UNIVERSITAS BENGKULU,11611003,PETERNAKAN,Sarjana,32,115,Tidak Ada
4,1161,UNIVERSITAS BENGKULU,11611004,AGRIBISNIS,Sarjana,26,267,Tidak Ada
5,1161,UNIVERSITAS BENGKULU,11611005,TEKNOLOGI INDUSTRI PERTANIAN,Sarjana,24,233,Tidak Ada
6,1161,UNIVERSITAS BENGKULU,11611006,PENDIDIKAN FISIKA,Sarjana,18,69,Tidak Ada
7,1161,UNIVERSITAS BENGKULU,11611007,PENDIDIKAN BIOLOGI,Sarjana,16,194,Tidak Ada
8,1161,UNIVERSITAS BENGKULU,11611008,PENDIDIKAN KIMIA,Sarjana,16,101,Tidak Ada
9,1161,UNIVERSITAS BENGKULU,11611009,PENDIDIKAN MATEMATIKA,Sarjana,20,200,Tidak Ada
10,1161,UNIVERSITAS BENGKULU,11611010,MATEMATIKA,Sarjana,16,70,Tidak Ada
11,1161,UNIVERSITAS BENGKULU,11611011,FISIKA,Sarjana,16,38,Tidak Ada
12,1161,UNIVERSITAS BENGKULU,11611012,BIOLOGI,Sarjana,19,100,Tidak Ada
13,1161,UNIVERSITAS BENGKULU,11611013,KIMIA,Sarjana,19,53,Tidak Ada
14,1161,UNIVERSITAS BENGKULU,11611014,INFORMATIKA,Sarjana,24,505,Tidak Ada
15,1161,UNIVERSITAS BENGKULU,11611015,TEKNIK SIPIL,Sarjana,24,318,Tidak Ada
16,1161,UNIVERSITAS BENGKULU,11611016,TEKNIK MESIN,Sarjana,20,159,Tidak Ada
17,1161,UNIVERSITAS BENGKULU,11611017,TEKNIK ELEKTRO,Sarjana,20,151,Tidak Ada
18,1161,UNIVERSITAS BENGKULU,11611018,ILMU KELAUTAN,Sarjana,16,75,Tidak Ada
19,1161,UNIVERSITAS BENGKULU,11611019,KEDOKTERAN,Sarjana,16,475,Tidak Ada
20,1161,UNIVERSITAS BENGKULU,11611020,ILMU TANAH,Sarjana,10,55,Tidak Ada
21,1161,UNIVERSITAS BENGKULU,11611021,STATISTIKA,Sarjana,16,145,Tidak Ada
22,1161,UNIVERSITAS BENGKULU,11611022,ARSITEKTUR,Sarjana,11,97,Tidak Ada
23,1161,UNIVERSITAS BENGKULU,11611023,SISTEM INFORMASI,Sarjana,18,318,Tidak Ada
24,1161,UNIVERSITAS BENGKULU,11611024,PROTEKSI TANAMAN,Sarjana,10,45,Tidak Ada
25,1161,UNIVERSITAS BENGKULU,11611025,FARMASI,Sarjana,16,552,Tidak Ada
26,1161,UNIVERSITAS BENGKULU,11611026,GEOFISIKA,Sarjana,16,97,Tidak Ada
27,1161,UNIVERSITAS BENGKULU,11611027,PENDIDIKAN IPA,Sarjana,16,152,Tidak Ada
28,1161,UNIVERSITAS BENGKULU,11611028,HUKUM,Sarjana,90,769,Tidak Ada
29,1161,UNIVERSITAS BENGKULU,11611029,KESEJAHTERAAN SOSIAL,Sarjana,17,127,Tidak Ada
30,1161,UNIVERSITAS BENGKULU,11611030,EKONOMI PEMBANGUNAN,Sarjana,24,220,Tidak Ada
31,1161,UNIVERSITAS BENGKULU,11611031,MANAJEMEN,Sarjana,40,823,Tidak Ada
32,1161,UNIVERSITAS BENGKULU,11611032,ADMINISTRASI PUBLIK,Sarjana,20,494,Tidak Ada
33,1161,UNIVERSITAS BENGKULU,11611033,SOSIOLOGI,Sarjana,20,212,Tidak Ada
34,1161,UNIVERSITAS BENGKULU,11611034,ILMU KOMUNIKASI,Sarjana,24,435,Tidak Ada
35,1161,UNIVERSITAS BENGKULU,11611035,AKUNTANSI,Sarjana,40,646,Tidak Ada
36,1161,UNIVERSITAS BENGKULU,11611036,PENDIDIKAN NONFORMAL,Sarjana,16,46,Tidak Ada
37,1161,UNIVERSITAS BENGKULU,11611037,PENDIDIKAN BAHASA INDONESIA,Sarjana,14,440,Tidak Ada
38,1161,UNIVERSITAS BENGKULU,11611038,PENDIDIKAN BAHASA INGGRIS,Sarjana,27,316,Tidak Ada
39,1161,UNIVERSITAS BENGKULU,11611039,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,32,1022,Tidak Ada
40,1161,UNIVERSITAS BENGKULU,11611040,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,Sarjana,18,221,Tidak Ada
41,1161,UNIVERSITAS BENGKULU,11611041,PENDIDIKAN JASMANI,Sarjana,20,213,Olahraga
42,1161,UNIVERSITAS BENGKULU,11611042,BIMBINGAN DAN KONSELING,Sarjana,16,432,Tidak Ada
43,1161,UNIVERSITAS BENGKULU,11611043,ILMU PERPUSTAKAAN,Sarjana,15,137,Tidak Ada
44,1161,UNIVERSITAS BENGKULU,11611044,JURNALISTIK,Sarjana,16,91,Tidak Ada
45,1161,UNIVERSITAS BENGKULU,11611055,ILMU LINGKUNGAAN,Sarjana,13,64,Tidak Ada
46,1161,UNIVERSITAS BENGKULU,11611056,TEKNIK INDUSTRI,Sarjana,8,,Tidak Ada
47,1161,UNIVERSITAS BENGKULU,11611057,SAINS PERIKANAN,Sarjana,12,,Tidak Ada
48,1161,UNIVERSITAS BENGKULU,11611058,PENYULUHAN PERTANIAN,Sarjana,10,,Tidak Ada
49,1161,UNIVERSITAS BENGKULU,11611059,NUTRISI DAN TEKNOLOGI PAKAN TERNAK,Sarjana,12,,Tidak Ada
50,1161,UNIVERSITAS BENGKULU,11611060,KEBIDANAN,Sarjana,8,,Tidak Ada
51,1161,UNIVERSITAS BENGKULU,11613047,FARMASI,Diploma Tiga,18,241,Tidak Ada
52,1161,UNIVERSITAS BENGKULU,11613048,LABORATORIUM SAINS,Diploma Tiga,16,80,Tidak Ada
53,1161,UNIVERSITAS BENGKULU,11613049,KEBIDANAN,Diploma Tiga,24,409,Tidak Ada
54,1161,UNIVERSITAS BENGKULU,11613052,KEPERAWATAN,Diploma Tiga,24,594,Tidak Ada
55,1161,UNIVERSITAS BENGKULU,11613054,AKUNTANSI,Diploma Tiga,21,46,Tidak Ada
