NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1171,UNIVERSITAS SRIWIJAYA,11711001,TEKNIK SIPIL,Sarjana,35,667,Tidak Ada
2,1171,UNIVERSITAS SRIWIJAYA,11711002,TEKNIK PERTAMBANGAN,Sarjana,35,1557,Tidak Ada
3,1171,UNIVERSITAS SRIWIJAYA,11711003,TEKNIK KIMIA,Sarjana,35,423,Tidak Ada
4,1171,UNIVERSITAS SRIWIJAYA,11711004,TEKNIK MESIN,Sarjana,35,509,Tidak Ada
5,1171,UNIVERSITAS SRIWIJAYA,11711005,TEKNIK ELEKTRO,Sarjana,35,478,Tidak Ada
6,1171,UNIVERSITAS SRIWIJAYA,11711006,PENDIDIKAN DOKTER,Sarjana,50,1127,Tidak Ada
7,1171,UNIVERSITAS SRIWIJAYA,11711007,PENDIDIKAN DOKTER GIGI,Sarjana,16,592,Tidak Ada
8,1171,UNIVERSITAS SRIWIJAYA,11711008,MATEMATIKA,Sarjana,36,160,Tidak Ada
9,1171,UNIVERSITAS SRIWIJAYA,11711009,FISIKA,Sarjana,36,96,Tidak Ada
10,1171,UNIVERSITAS SRIWIJAYA,11711010,KIMIA,Sarjana,36,149,Tidak Ada
11,1171,UNIVERSITAS SRIWIJAYA,11711011,BIOLOGI,Sarjana,36,207,Tidak Ada
12,1171,UNIVERSITAS SRIWIJAYA,11711012,AGRIBISNIS,Sarjana,65,526,Tidak Ada
13,1171,UNIVERSITAS SRIWIJAYA,11711013,TEKNOLOGI HASIL PERTANIAN,Sarjana,34,247,Tidak Ada
14,1171,UNIVERSITAS SRIWIJAYA,11711014,TEKNIK PERTANIAN,Sarjana,34,442,Tidak Ada
15,1171,UNIVERSITAS SRIWIJAYA,11711015,PEND. MATEMATIKA,Sarjana,24,397,Tidak Ada
16,1171,UNIVERSITAS SRIWIJAYA,11711016,PEND BIOLOGI,Sarjana,20,404,Tidak Ada
17,1171,UNIVERSITAS SRIWIJAYA,11711017,PEND. KIMIA,Sarjana,20,208,Tidak Ada
18,1171,UNIVERSITAS SRIWIJAYA,11711018,PEND FISIKA,Sarjana,20,151,Tidak Ada
19,1171,UNIVERSITAS SRIWIJAYA,11711019,ILMU KESEHATAN MASYARAKAT,Sarjana,100,1204,Tidak Ada
20,1171,UNIVERSITAS SRIWIJAYA,11711020,ARSITEKTUR,Sarjana,22,284,Tidak Ada
21,1171,UNIVERSITAS SRIWIJAYA,11711021,ILMU KELAUTAN,Sarjana,36,142,Tidak Ada
22,1171,UNIVERSITAS SRIWIJAYA,11711022,BUDIDAYA PERAIRAN,Sarjana,40,84,Tidak Ada
23,1171,UNIVERSITAS SRIWIJAYA,11711023,TEKNOLOGI HASIL PERIKANAN,Sarjana,40,88,Tidak Ada
24,1171,UNIVERSITAS SRIWIJAYA,11711024,ILMU KEPERAWATAN,Sarjana,30,1158,Tidak Ada
25,1171,UNIVERSITAS SRIWIJAYA,11711025,PEND TEKNIK MESIN,Sarjana,20,98,Tidak Ada
