NO,KODE_PTN,NAMA_PTN,KODE_PRODI,NAMA_PRODI,JENJANG,DAYA_TAMPUNG_2026,PEMINAT_2025,JENIS_PORTOFOLIO
1,1181,UNIVERSITAS BANGKA BELITUNG,11811001,TEKNIK MESIN,Sarjana,27,83,Tidak Ada
2,1181,UNIVERSITAS BANGKA BELITUNG,11811002,TEKNIK ELEKTRO,Sarjana,27,94,Tidak Ada
3,1181,UNIVERSITAS BANGKA BELITUNG,11811003,TEKNIK PERTAMBANGAN,Sarjana,27,261,Tidak Ada
4,1181,UNIVERSITAS BANGKA BELITUNG,11811004,TEKNIK SIPIL,Sarjana,27,175,Tidak Ada
5,1181,UNIVERSITAS BANGKA BELITUNG,11811005,AGROTEKNOLOGI,Sarjana,32,179,Tidak Ada
6,1181,UNIVERSITAS BANGKA BELITUNG,11811006,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,35,47,Tidak Ada
7,1181,UNIVERSITAS BANGKA BELITUNG,11811007,BIOLOGI,Sarjana,26,109,Tidak Ada
8,1181,UNIVERSITAS BANGKA BELITUNG,11811008,AGRIBISNIS,Sarjana,42,220,Tidak Ada
9,1181,UNIVERSITAS BANGKA BELITUNG,11811009,AKUAKULTUR,Sarjana,45,74,Tidak Ada
10,1181,UNIVERSITAS BANGKA BELITUNG,11811010,ILMU KELAUTAN,Sarjana,30,69,Tidak Ada
11,1181,UNIVERSITAS BANGKA BELITUNG,11811011,KIMIA,Sarjana,23,45,Tidak Ada
12,1181,UNIVERSITAS BANGKA BELITUNG,11811012,FISIKA,Sarjana,13,23,Tidak Ada
13,1181,UNIVERSITAS BANGKA BELITUNG,11811013,MATEMATIKA,Sarjana,32,60,Tidak Ada
14,1181,UNIVERSITAS BANGKA BELITUNG,11811014,AKUNTANSI,Sarjana,63,350,Tidak Ada
15,1181,UNIVERSITAS BANGKA BELITUNG,11811015,MANAJEMEN,Sarjana,63,514,Tidak Ada
16,1181,UNIVERSITAS BANGKA BELITUNG,11811016,HUKUM,Sarjana,87,343,Tidak Ada
17,1181,UNIVERSITAS BANGKA BELITUNG,11811017,SOSIOLOGI,Sarjana,60,160,Tidak Ada
18,1181,UNIVERSITAS BANGKA BELITUNG,11811018,SASTRA INGGRIS,Sarjana,52,116,Tidak Ada
19,1181,UNIVERSITAS BANGKA BELITUNG,11811019,ILMU POLITIK,Sarjana,42,90,Tidak Ada
20,1181,UNIVERSITAS BANGKA BELITUNG,11811020,EKONOMI,Sarjana,30,157,Tidak Ada
21,1181,UNIVERSITAS BANGKA BELITUNG,11811022,PERENCANAAN WILAYAH DAN KOTA,Sarjana,25,141,Tidak Ada
22,1181,UNIVERSITAS BANGKA BELITUNG,11811023,PERIKANAN TANGKAP,Sarjana,15,30,Tidak Ada
23,1181,UNIVERSITAS BANGKA BELITUNG,11811024,TEKNOLOGI INFORMASI,Sarjana,18,308,Tidak Ada
24,1181,UNIVERSITAS BANGKA BELITUNG,11811025,ARSITEKTUR,Sarjana,24,67,Tidak Ada
25,1181,UNIVERSITAS BANGKA BELITUNG,11811026,BISNIS DIGITAL,Sarjana,30,269,Tidak Ada
26,1181,UNIVERSITAS BANGKA BELITUNG,11811027,KEDOKTERAN,Sarjana,15,345,Tidak Ada
27,1181,UNIVERSITAS BANGKA BELITUNG,11811028,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,16,,Tidak Ada
28,1181,UNIVERSITAS BANGKA BELITUNG,11811029,PENDIDIKAN BAHASA INGGRIS,Sarjana,28,,Tidak Ada
29,1181,UNIVERSITAS BANGKA BELITUNG,11811030,HUBUNGAN INTERNASIONAL,Sarjana,25,,Tidak Ada
30,1181,UNIVERSITAS BANGKA BELITUNG,11811031,ILMU KOMUNIKASI,Sarjana,25,,Tidak Ada
31,1181,UNIVERSITAS BANGKA BELITUNG,11811032,PENDIDIKAN BAHASA INDONESIA,Sarjana,16,,Tidak Ada
32,1181,UNIVERSITAS BANGKA BELITUNG,11813021,KEPERAWATAN,Diploma Tiga,36,329,Tidak Ada
